  UID     PID          PENDING          BLOCKED          IGNORED           CAUGHT STAT TTY        TIME COMMAND
 1000    1808 0000000000000000 0000000000000000 0000000000001000 0000000100004000 Ssl+ tty2       0:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
 1000    1816 0000000000000000 0000000000000000 0000000000001000 0000000100004003 Sl+  tty2       0:00 /usr/libexec/gnome-session-binary --session=ubuntu
 1000    7671 0000000000000000 0000000000010000 0000000000384004 000000004b813efb Ss   pts/0      0:00 bash
 1000   12444 0000000000000000 0000000000000000 0000000000000000 0000000000000000 T    pts/0      0:00 ./father
 1000   12448 0000000000000000 0000000000000000 0000000000000200 0000000000000000 T    pts/0      0:00 son2
 1000   12593 0000000000000000 0000000000000000 0000000000000000 0000000000000000 T    pts/0      0:00 ./father
 1000   12597 0000000000000000 0000000000000000 0000000000000200 0000000000000000 T    pts/0      0:00 son2
 1000   13138 0000000000000000 0000000000000000 0000000000000000 0000000000000000 T    pts/0      0:00 ./father
 1000   13142 0000000000000000 0000000000000000 0000000000000200 0000000000000000 T    pts/0      0:00 son2
 1000   13348 0000000000000000 0000000000010000 0000000000000006 0000000000000000 S+   pts/0      0:00 ./father
 1000   13354 0000000000000000 0000000000000000 0000000000000000 0000000000010002 S+   pts/0      0:00 sh -c -- ps -s > after.txt
 1000   13355 0000000000000000 0000000000000000 0000000000000000 000000007391fef9 R+   pts/0      0:00 ps -s
